GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	adjustedPvalue	ensembl_gene_id	hgnc_symbol
GO:0052695	3.22153825174662e-06	57.3182957393484	0.112283737024221	4	11	cellular glucuronidation	0.00827291023048533	ENSG00000167165,ENSG00000171234,ENSG00000213759,ENSG00000241635	UGT1A6,UGT2B7,UGT2B11,UGT1A1
GO:0052697	1.02155060282043e-05	149.217391304348	0.051038062283737	3	5	xenobiotic glucuronidation	0.0109645620434247	ENSG00000167165,ENSG00000213759,ENSG00000241635	UGT1A6,UGT2B11,UGT1A1
GO:0006063	1.70787570769855e-05	33.4210526315789	0.163321799307958	4	16	uronic acid metabolic process	0.0109645620434247	ENSG00000167165,ENSG00000171234,ENSG00000213759,ENSG00000241635	UGT1A6,UGT2B7,UGT2B11,UGT1A1
GO:0019585	1.70787570769855e-05	33.4210526315789	0.163321799307958	4	16	glucuronate metabolic process	0.0109645620434247	ENSG00000167165,ENSG00000171234,ENSG00000213759,ENSG00000241635	UGT1A6,UGT2B7,UGT2B11,UGT1A1
GO:0006805	0.000198157620326806	7.90700371057514	0.847231833910035	6	83	xenobiotic metabolic process	0.101773753799847	ENSG00000002726,ENSG00000106546,ENSG00000165841,ENSG00000167165,ENSG00000213759,ENSG00000241635	AOC1,AHR,CYP2C19,UGT1A6,UGT2B11,UGT1A1
GO:0052696	0.000611662887632726	98.6206896551724	0.0408304498269896	2	4	flavonoid glucuronidation	0.249518371932874	ENSG00000167165,ENSG00000241635	UGT1A6,UGT1A1
GO:0032787	0.000708434951209354	3.09580086580087	4.62404844290657	13	453	monocarboxylic acid metabolic process	0.249518371932874	ENSG00000106853,ENSG00000116171,ENSG00000140876,ENSG00000147475,ENSG00000157184,ENSG00000165841,ENSG00000167165,ENSG00000171234,ENSG00000171451,ENSG00000171903,ENSG00000183044,ENSG00000213759,ENSG00000241635	PTGR1,SCP2,NUDT7,ERLIN2,CPT2,CYP2C19,UGT1A6,UGT2B7,DSEL,CYP4F11,ABAT,UGT2B11,UGT1A1
GO:0015711	0.000777315800413937	3.67767233425596	2.97041522491349	10	291	organic anion transport	0.249518371932874	ENSG00000021488,ENSG00000115419,ENSG00000116171,ENSG00000117620,ENSG00000130821,ENSG00000157184,ENSG00000170571,ENSG00000180957,ENSG00000183044,ENSG00000185015	SLC7A9,GLS,SCP2,SLC35A3,SLC6A8,CPT2,EMB,PITPNB,ABAT,CA13
GO:0019752	0.00129388278396089	2.43697585768742	8.21712802768166	18	805	carboxylic acid metabolic process	0.289995646096819	ENSG00000106853,ENSG00000115419,ENSG00000116171,ENSG00000130821,ENSG00000140876,ENSG00000147475,ENSG00000157184,ENSG00000158467,ENSG00000159921,ENSG00000165841,ENSG00000167165,ENSG00000171234,ENSG00000171451,ENSG00000171903,ENSG00000183044,ENSG00000213759,ENSG00000237289,ENSG00000241635	PTGR1,GLS,SCP2,SLC6A8,NUDT7,ERLIN2,CPT2,AHCYL2,GNE,CYP2C19,UGT1A6,UGT2B7,DSEL,CYP4F11,ABAT,UGT2B11,CKMT1B,UGT1A1
GO:0006082	0.00132664852482752	2.3734305673558	8.93166089965398	19	875	organic acid metabolic process	0.289995646096819	ENSG00000106853,ENSG00000115419,ENSG00000116171,ENSG00000118777,ENSG00000130821,ENSG00000140876,ENSG00000147475,ENSG00000157184,ENSG00000158467,ENSG00000159921,ENSG00000165841,ENSG00000167165,ENSG00000171234,ENSG00000171451,ENSG00000171903,ENSG00000183044,ENSG00000213759,ENSG00000237289,ENSG00000241635	PTGR1,GLS,SCP2,ABCG2,SLC6A8,NUDT7,ERLIN2,CPT2,AHCYL2,GNE,CYP2C19,UGT1A6,UGT2B7,DSEL,CYP4F11,ABAT,UGT2B11,CKMT1B,UGT1A1
GO:0044281	0.00138098258982423	2.02787708546136	16.4648788927336	29	1613	small molecule metabolic process	0.289995646096819	ENSG00000048392,ENSG00000106853,ENSG00000115419,ENSG00000116171,ENSG00000117620,ENSG00000118777,ENSG00000130821,ENSG00000138193,ENSG00000140057,ENSG00000140876,ENSG00000147475,ENSG00000153989,ENSG00000157184,ENSG00000158467,ENSG00000159921,ENSG00000165841,ENSG00000167165,ENSG00000168781,ENSG00000171234,ENSG00000171451,ENSG00000171903,ENSG00000182372,ENSG00000183044,ENSG00000185015,ENSG00000196368,ENSG00000198585,ENSG00000213759,ENSG00000237289,ENSG00000241635	RRM2B,PTGR1,GLS,SCP2,SLC35A3,ABCG2,SLC6A8,PLCE1,AK7,NUDT7,ERLIN2,NUS1,CPT2,AHCYL2,GNE,CYP2C19,UGT1A6,PPIP5K1,UGT2B7,DSEL,CYP4F11,CLN8,ABAT,CA13,NUDT11,NUDT16,UGT2B11,CKMT1B,UGT1A1
GO:0072224	0.00150880237946356	49.301724137931	0.0612456747404844	2	6	metanephric glomerulus development	0.289995646096819	ENSG00000205213,ENSG00000273706	LGR4,LHX1
GO:0071466	0.00167161225199694	5.1410411622276	1.26574394463668	6	124	cellular response to xenobiotic stimulus	0.289995646096819	ENSG00000002726,ENSG00000106546,ENSG00000165841,ENSG00000167165,ENSG00000213759,ENSG00000241635	AOC1,AHR,CYP2C19,UGT1A6,UGT2B11,UGT1A1
GO:0032377	0.00209823406445917	39.4379310344828	0.0714532871972318	2	7	regulation of intracellular lipid transport	0.289995646096819	ENSG00000116171,ENSG00000153989	SCP2,NUS1
GO:0032380	0.00209823406445917	39.4379310344828	0.0714532871972318	2	7	regulation of intracellular sterol transport	0.289995646096819	ENSG00000116171,ENSG00000153989	SCP2,NUS1
GO:0032383	0.00209823406445917	39.4379310344828	0.0714532871972318	2	7	regulation of intracellular cholesterol transport	0.289995646096819	ENSG00000116171,ENSG00000153989	SCP2,NUS1
GO:0009154	0.00227130480309863	12.951606805293	0.265397923875433	3	26	purine ribonucleotide catabolic process	0.289995646096819	ENSG00000140876,ENSG00000196368,ENSG00000198585	NUDT7,NUDT11,NUDT16
GO:0006939	0.00251729088646474	7.68556005398111	0.571626297577855	4	56	smooth muscle contraction	0.289995646096819	ENSG00000065534,ENSG00000138193,ENSG00000148357,ENSG00000183044	MYLK,PLCE1,HMCN2,ABAT
GO:0009261	0.00253634269613366	12.4108695652174	0.27560553633218	3	27	ribonucleotide catabolic process	0.289995646096819	ENSG00000140876,ENSG00000196368,ENSG00000198585	NUDT7,NUDT11,NUDT16
GO:0006936	0.00267684864348512	4.03675266175266	1.86799307958478	7	183	muscle contraction	0.289995646096819	ENSG00000065534,ENSG00000130821,ENSG00000138193,ENSG00000148357,ENSG00000158286,ENSG00000183044,ENSG00000213341	MYLK,SLC6A8,PLCE1,HMCN2,RNF207,ABAT,CHUK
GO:0006600	0.00277899968477515	32.8620689655172	0.0816608996539792	2	8	creatine metabolic process	0.289995646096819	ENSG00000130821,ENSG00000237289	SLC6A8,CKMT1B
GO:0009812	0.00277899968477515	32.8620689655172	0.0816608996539792	2	8	flavonoid metabolic process	0.289995646096819	ENSG00000167165,ENSG00000241635	UGT1A6,UGT1A1
GO:0009410	0.00293116008125843	3.96804066636469	1.89861591695502	7	186	response to xenobiotic stimulus	0.289995646096819	ENSG00000002726,ENSG00000106546,ENSG00000165841,ENSG00000167165,ENSG00000183044,ENSG00000213759,ENSG00000241635	AOC1,AHR,CYP2C19,UGT1A6,ABAT,UGT2B11,UGT1A1
GO:0043436	0.00296918036185796	2.24301176470588	8.86020761245675	18	868	oxoacid metabolic process	0.289995646096819	ENSG00000106853,ENSG00000115419,ENSG00000116171,ENSG00000130821,ENSG00000140876,ENSG00000147475,ENSG00000157184,ENSG00000158467,ENSG00000159921,ENSG00000165841,ENSG00000167165,ENSG00000171234,ENSG00000171451,ENSG00000171903,ENSG00000183044,ENSG00000213759,ENSG00000237289,ENSG00000241635	PTGR1,GLS,SCP2,SLC6A8,NUDT7,ERLIN2,CPT2,AHCYL2,GNE,CYP2C19,UGT1A6,UGT2B7,DSEL,CYP4F11,ABAT,UGT2B11,CKMT1B,UGT1A1
GO:0003012	0.00308296849488773	3.52963400236127	2.43961937716263	8	239	muscle system process	0.289995646096819	ENSG00000065534,ENSG00000130821,ENSG00000138193,ENSG00000148357,ENSG00000148660,ENSG00000158286,ENSG00000183044,ENSG00000213341	MYLK,SLC6A8,PLCE1,HMCN2,CAMK2G,RNF207,ABAT,CHUK
GO:0032365	0.00312187169641718	11.4541806020067	0.296020761245675	3	29	intracellular lipid transport	0.289995646096819	ENSG00000116171,ENSG00000153989,ENSG00000157184	SCP2,NUS1,CPT2
GO:0032835	0.00378396074117435	10.6341614906832	0.31643598615917	3	31	glomerulus development	0.289995646096819	ENSG00000138193,ENSG00000205213,ENSG00000273706	PLCE1,LGR4,LHX1
GO:0051187	0.0041446328023851	10.2665667166417	0.326643598615917	3	32	cofactor catabolic process	0.289995646096819	ENSG00000140876,ENSG00000171903,ENSG00000241635	NUDT7,CYP4F11,UGT1A1
