GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	adjustedPvalue	ensembl_gene_id	hgnc_symbol
GO:0015020	4.85036366731273e-05	24.4173728813559	0.209208608419789	4	20	glucuronosyltransferase activity	0.0260949565301425	ENSG00000167165,ENSG00000171234,ENSG00000213759,ENSG00000241635	UGT1A6,UGT2B7,UGT2B11,UGT1A1
GO:0008194	0.00102296116494573	5.68816312997347	1.15064734630884	6	110	UDP-glycosyltransferase activity	0.152100312607902	ENSG00000167165,ENSG00000169193,ENSG00000171234,ENSG00000183778,ENSG00000213759,ENSG00000241635	UGT1A6,CCDC126,UGT2B7,B3GALT5,UGT2B11,UGT1A1
GO:0004175	0.00119560905533157	3.75033185840708	2.60464717482637	9	249	endopeptidase activity	0.152100312607902	ENSG00000084073,ENSG00000103326,ENSG00000135093,ENSG00000142606,ENSG00000156256,ENSG00000164099,ENSG00000184012,ENSG00000197635,ENSG00000271447	ZMPSTE24,CAPN15,USP30,MMEL1,USP16,PRSS12,TMPRSS2,DPP4,MMP28
GO:0050072	0.00158383019634806	48.0708333333333	0.0627625825259367	2	6	m7G(5')pppN diphosphatase activity	0.152100312607902	ENSG00000196368,ENSG00000198585	NUDT11,NUDT16
GO:0016857	0.00372380358120339	27.4619047619048	0.0941438737889051	2	9	racemase and epimerase activity, acting on carbohydrates and derivatives	0.152100312607902	ENSG00000159921,ENSG00000171451	GNE,DSEL
GO:0036312	0.00372380358120339	27.4619047619048	0.0941438737889051	2	9	phosphatidylinositol 3-kinase regulatory subunit binding	0.152100312607902	ENSG00000136848,ENSG00000155629	DAB2IP,PIK3AP1
GO:0072349	0.00668831809873173	19.2183333333333	0.125525165051873	2	12	modified amino acid transmembrane transporter activity	0.152100312607902	ENSG00000021488,ENSG00000130821	SLC7A9,SLC6A8
GO:0070011	0.00720637936152905	2.65126329787234	4.03772614250193	10	386	peptidase activity, acting on L-amino acid peptides	0.152100312607902	ENSG00000084073,ENSG00000103326,ENSG00000135093,ENSG00000142606,ENSG00000156256,ENSG00000164099,ENSG00000184012,ENSG00000197635,ENSG00000198585,ENSG00000271447	ZMPSTE24,CAPN15,USP30,MMEL1,USP16,PRSS12,TMPRSS2,DPP4,NUDT16,MMP28
GO:0016758	0.00725413705866996	3.75049417966176	1.70505015862128	6	163	transferase activity, transferring hexosyl groups	0.152100312607902	ENSG00000167165,ENSG00000169193,ENSG00000171234,ENSG00000183778,ENSG00000213759,ENSG00000241635	UGT1A6,CCDC126,UGT2B7,B3GALT5,UGT2B11,UGT1A1
GO:0033293	0.00832368516688079	7.83829207358619	0.418417216839578	3	40	monocarboxylic acid binding	0.152100312607902	ENSG00000116171,ENSG00000171903,ENSG00000241635	SCP2,CYP4F11,UGT1A1
