GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	adjustedPvalue	ensembl_gene_id	hgnc_symbol
GO:0140098	1.80483364392448e-08	3.10277975766215	13.9693903798337	38	343	catalytic activity, acting on RNA	1.90770916162818e-05	ENSG00000026297,ENSG00000047315,ENSG00000059691,ENSG00000072756,ENSG00000086189,ENSG00000088205,ENSG00000105849,ENSG00000105865,ENSG00000120158,ENSG00000123600,ENSG00000125485,ENSG00000125630,ENSG00000127804,ENSG00000129480,ENSG00000130348,ENSG00000132541,ENSG00000134077,ENSG00000134440,ENSG00000137574,ENSG00000137760,ENSG00000138035,ENSG00000145388,ENSG00000145907,ENSG00000147592,ENSG00000148606,ENSG00000151576,ENSG00000161980,ENSG00000162851,ENSG00000163684,ENSG00000165732,ENSG00000168872,ENSG00000169413,ENSG00000174173,ENSG00000174840,ENSG00000198791,ENSG00000198874,ENSG00000247626,ENSG00000278053,ENSG00000281007	RNASET2,POLR2B,GATB,TRNT1,DIMT1,DDX18,TWISTNB,DUS4L,RCL1,METTL8,DDX31,POLR1B,METTL16,DTD2,QRSL1,HRSP12,THUMPD3,NARS,TGS1,ALKBH8,PNPT1,METTL14,G3BP1,LACTB2,POLR3A,QTRTD1,POLR3K,TFB2M,RPP14,DDX21,DDX19A,RNASE6,TRMT10C,PDE12,CNOT7,TYW1,MARS2,DDX52,
GO:0140101	0.000364976307957108	3.1749682806041	4.88725027865901	14	120	catalytic activity, acting on a tRNA	0.123525044098318	ENSG00000059691,ENSG00000072756,ENSG00000105865,ENSG00000123600,ENSG00000129480,ENSG00000130348,ENSG00000134077,ENSG00000134440,ENSG00000137760,ENSG00000151576,ENSG00000163684,ENSG00000174173,ENSG00000198874,ENSG00000247626	GATB,TRNT1,DUS4L,METTL8,DTD2,QRSL1,THUMPD3,NARS,ALKBH8,QTRTD1,RPP14,TRMT10C,TYW1,MARS2
GO:0005215	0.000428992002833224	1.74935335836462	30.7489496698963	50	755	transporter activity	0.123525044098318	ENSG00000004864,ENSG00000006695,ENSG00000014919,ENSG00000047597,ENSG00000064651,ENSG00000072274,ENSG00000084090,ENSG00000086200,ENSG00000091622,ENSG00000092068,ENSG00000100372,ENSG00000110446,ENSG00000110911,ENSG00000114120,ENSG00000115840,ENSG00000116704,ENSG00000117528,ENSG00000118762,ENSG00000123643,ENSG00000124406,ENSG00000125375,ENSG00000125648,ENSG00000133460,ENSG00000134375,ENSG00000137860,ENSG00000138449,ENSG00000144659,ENSG00000146409,ENSG00000146828,ENSG00000148842,ENSG00000149150,ENSG00000154174,ENSG00000154305,ENSG00000156875,ENSG00000157388,ENSG00000165269,ENSG00000166006,ENSG00000166260,ENSG00000166266,ENSG00000166347,ENSG00000170855,ENSG00000171612,ENSG00000172548,ENSG00000176273,ENSG00000180251,ENSG00000196911,ENSG00000197147,ENSG00000198689,ENSG00000204267,ENSG00000205339	SLC25A13,COX10,COX15,XK,SLC12A2,TFRC,STARD7,IPO11,PITPNM3,SLC7A8,SLC25A17,SLC15A3,SLC11A2,SLC25A36,SLC25A12,SLC35D1,ABCD3,PKD2,SLC36A1,ATP8A1,ATP5S,SLC25A23,SLC2A11,TIMM17A,SLC28A2,SLC40A1,SLC25A38,SLC18B1,SLC12A9,CNNM2,SLC43A1,TOMM70A,MIA3,HIAT1,CACNA1D,AQP7,KCNC2,COX11,CUL5,CYB5A,TRIAP1,SLC25A33,NIPAL4,SLC35G1,SLC9A4,KPNA5,LRRC8B,SLC9A6,TAP2,IPO7
GO:0003824	0.000467455228375849	1.37315764851227	184.778787618966	220	4537	catalytic activity	0.123525044098318	ENSG00000001084,ENSG00000004660,ENSG00000005187,ENSG00000006695,ENSG00000009413,ENSG00000012174,ENSG00000014919,ENSG00000026297,ENSG00000027075,ENSG00000033011,ENSG00000040199,ENSG00000047315,ENSG00000049130,ENSG00000054179,ENSG00000055332,ENSG00000059691,ENSG00000065833,ENSG00000066135,ENSG00000072756,ENSG00000078070,ENSG00000079335,ENSG00000081307,ENSG00000083123,ENSG00000085760,ENSG00000086189,ENSG00000088035,ENSG00000088179,ENSG00000088205,ENSG00000089050,ENSG00000090857,ENSG00000091140,ENSG00000099810,ENSG00000100292,ENSG00000100522,ENSG00000100523,ENSG00000100596,ENSG00000101049,ENSG00000101557,ENSG00000102837,ENSG00000103194,ENSG00000103657,ENSG00000103811,ENSG00000104763,ENSG00000105849,ENSG00000105865,ENSG00000106392,ENSG00000106692,ENSG00000107815,ENSG00000107937,ENSG00000108963,ENSG00000109181,ENSG00000109189,ENSG00000109586,ENSG00000110013,ENSG00000110435,ENSG00000111696,ENSG00000111837,ENSG00000111962,ENSG00000112096,ENSG00000112343,ENSG00000113272,ENSG00000113552,ENSG00000113790,ENSG00000114805,ENSG00000115267,ENSG00000115365,ENSG00000116663,ENSG00000116771,ENSG00000117054,ENSG00000117228,ENSG00000117461,ENSG00000117528,ENSG00000119514,ENSG00000119711,ENSG00000120158,ENSG00000121274,ENSG00000121897,ENSG00000122035,ENSG00000123213,ENSG00000123427,ENSG00000123600,ENSG00000124406,ENSG00000124784,ENSG00000125166,ENSG00000125484,ENSG00000125485,ENSG00000125630,ENSG00000126790,ENSG00000126858,ENSG00000127720,ENSG00000127804,ENSG00000127980,ENSG00000129480,ENSG00000130348,ENSG00000130414,ENSG00000130741,ENSG00000131844,ENSG00000131873,ENSG00000131979,ENSG00000132199,ENSG00000132437,ENSG00000132541,ENSG00000133835,ENSG00000134077,ENSG00000134326,ENSG00000134440,ENSG00000134480,ENSG00000134852,ENSG00000134900,ENSG00000135220,ENSG00000135503,ENSG00000135697,ENSG00000135929,ENSG00000137274,ENSG00000137574,ENSG00000137628,ENSG00000137714,ENSG00000137760,ENSG00000137944,ENSG00000137992,ENSG00000138035,ENSG00000138777,ENSG00000140740,ENSG00000141385,ENSG00000141542,ENSG00000142892,ENSG00000143315,ENSG00000143867,ENSG00000144306,ENSG00000144445,ENSG00000144827,ENSG00000144837,ENSG00000145041,ENSG00000145332,ENSG00000145388,ENSG00000145882,ENSG00000145907,ENSG00000147592,ENSG00000147687,ENSG00000148606,ENSG00000149313,ENSG00000151576,ENSG00000151806,ENSG00000153904,ENSG00000153982,ENSG00000154930,ENSG00000155100,ENSG00000156017,ENSG00000156049,ENSG00000156136,ENSG00000156427,ENSG00000156709,ENSG00000156869,ENSG00000161980,ENSG00000162851,ENSG00000163131,ENSG00000163389,ENSG00000163528,ENSG00000163684,ENSG00000163961,ENSG00000164070,ENSG00000164091,ENSG00000164134,ENSG00000164163,ENSG00000164237,ENSG00000164292,ENSG00000164494,ENSG00000165140,ENSG00000165732,ENSG00000165832,ENSG00000166260,ENSG00000166266,ENSG00000166347,ENSG00000166391,ENSG00000166896,ENSG00000167005,ENSG00000168350,ENSG00000168827,ENSG00000168872,ENSG00000169413,ENSG00000170266,ENSG00000170854,ENSG00000170855,ENSG00000171723,ENSG00000171766,ENSG00000171823,ENSG00000172197,ENSG00000172840,ENSG00000172954,ENSG00000173193,ENSG00000174173,ENSG00000174840,ENSG00000176055,ENSG00000176125,ENSG00000176387,ENSG00000178691,ENSG00000178952,ENSG00000183196,ENSG00000184307,ENSG00000184787,ENSG00000185238,ENSG00000185432,ENSG00000185515,ENSG00000186660,ENSG00000187091,ENSG00000188266,ENSG00000188342,ENSG00000196455,ENSG00000197323,ENSG00000198791,ENSG00000198874,ENSG00000204147,ENSG00000204267,ENSG00000227345,ENSG00000247077,ENSG00000247626,ENSG00000262406,ENSG00000276600,ENSG00000277161,ENSG00000278053,ENSG00000281007	GCLC,CAMKK1,ACSM3,COX10,REV3L,MBTPS2,COX15,RNASET2,PRKCH,ALG1,PHLPP2,POLR2B,KITLG,ENTPD2,EIF2AK2,GATB,ME1,KDM4A,TRNT1,MCCC1,CDC14A,UBA5,BCKDHB,MTIF2,DIMT1,ALG6,PTPN4,DDX18,RBBP9,PDPR,DLD,MTAP,HMOX1,GNPNAT1,DDHD1,SPTLC2,SGK2,USP14,OLFM4,USP10,HERC1,CTSH,ASAH1,TWISTNB,DUS4L,C1GALT1,FKTN,C10orf2,GTPBP4,DPH1,UGT2B10,USP46,GALNT7,SIAE,PDHX,NT5DC3,MAK,UST,SOD2,TRIM38,THG1L,GNPDA1,EHHADH,PLCH1,IFIH1,LANCL1,FBXO6,AGMAT,ACADM,GBP1,PIK3R3,ABCD3,GALNT12,ALDH6A1,RCL1,PAPD5,LIAS,RASL11A,NLN,METTL21B,METTL8,ATP8A1,RIOK1,GOT2,GTF3C4,DDX31,POLR1B,L3HYPDH,RHOT1,METTL25,METTL16,PEX1,DTD2,QRSL1,NDUFA10,EIF2S3,MCCC2,CHSY1,GCH1,ENOSF1,DDC,HRSP12,HSD17B4,THUMPD3,CMPK2,NARS,CCNH,CLOCK,TPP2,UGT2A3,ACVR1B,BCO1,CYP27A1,BPHL,TGS1,DDX60,FDX1,ALKBH8,CCBL2,DBT,PNPT1,PPA2,UQCRC2,AFG3L2,RAB40B,PIGK,PIGM,OSR1,SCRN3,KANSL1L,ABHD10,PLA1A,VPRBP,KLHL8,METTL14,PCYOX1L,G3BP1,LACTB2,TATDN1,POLR3A,AASDHPPT,QTRTD1,GUF1,DDAH1,GDPD1,ACSS1,OTUD6B,C9orf41,GNA14,DCK,FGF18,AIFM1,FRRS1,POLR3K,TFB2M,CTSS,POGLUT1,CHCHD4,RPP14,RNF168,HSPA4L,WDR82,NAA15,ABCE1,CMBL,RHOBTB3,PDSS2,FBP1,DDX21,TRUB1,COX11,CUL5,CYB5A,MOGAT2,XRCC6BP1,NUDT21,DEGS2,GFM1,DDX19A,RNASE6,GLB1,MINA,TRIAP1,GPHN,GATM,FBXL14,MBOAT1,PDP2,LCLAT1,PARP14,TRMT10C,PDE12,MBLAC2,UFSP1,HSD11B2,SUZ12,TUFM,CHST6,ZDHHC23,UBE2G2,PRMT3,METTL7A,BRCC3,ZFP91,PLCD1,HYKK,GTF2F2,PIK3R4,TRIM33,CNOT7,TYW1,ASAH2B,TAP2,PARG,PGAM5,MARS2,MMP12,RAB7B,PIGW,DDX52,
GO:0008173	0.000585066520438079	4.30223175965665	2.40289805367401	9	59	RNA methyltransferase activity	0.12368306242061	ENSG00000086189,ENSG00000123600,ENSG00000127804,ENSG00000134077,ENSG00000137574,ENSG00000137760,ENSG00000145388,ENSG00000162851,ENSG00000174173	DIMT1,METTL8,METTL16,THUMPD3,TGS1,ALKBH8,METTL14,TFB2M,TRMT10C
GO:0022857	0.00070233288107078	1.80648476610417	24.3140701363286	41	597	transmembrane transporter activity	0.123727642548636	ENSG00000004864,ENSG00000006695,ENSG00000014919,ENSG00000064651,ENSG00000072274,ENSG00000092068,ENSG00000100372,ENSG00000110446,ENSG00000110911,ENSG00000114120,ENSG00000115840,ENSG00000116704,ENSG00000117528,ENSG00000118762,ENSG00000123643,ENSG00000124406,ENSG00000125375,ENSG00000125648,ENSG00000133460,ENSG00000134375,ENSG00000137860,ENSG00000138449,ENSG00000144659,ENSG00000146409,ENSG00000146828,ENSG00000148842,ENSG00000149150,ENSG00000154174,ENSG00000157388,ENSG00000165269,ENSG00000166006,ENSG00000166260,ENSG00000166266,ENSG00000166347,ENSG00000171612,ENSG00000172548,ENSG00000176273,ENSG00000180251,ENSG00000197147,ENSG00000198689,ENSG00000204267	SLC25A13,COX10,COX15,SLC12A2,TFRC,SLC7A8,SLC25A17,SLC15A3,SLC11A2,SLC25A36,SLC25A12,SLC35D1,ABCD3,PKD2,SLC36A1,ATP8A1,ATP5S,SLC25A23,SLC2A11,TIMM17A,SLC28A2,SLC40A1,SLC25A38,SLC18B1,SLC12A9,CNNM2,SLC43A1,TOMM70A,CACNA1D,AQP7,KCNC2,COX11,CUL5,CYB5A,SLC25A33,NIPAL4,SLC35G1,SLC9A4,LRRC8B,SLC9A6,TAP2
GO:0003723	0.00107167493031349	1.49345344886819	60.7240847123382	84	1491	RNA binding	0.15906364884351	ENSG00000011260,ENSG00000026297,ENSG00000047315,ENSG00000048162,ENSG00000049883,ENSG00000055332,ENSG00000059691,ENSG00000061794,ENSG00000072274,ENSG00000072756,ENSG00000083635,ENSG00000085760,ENSG00000086189,ENSG00000088205,ENSG00000089048,ENSG00000089195,ENSG00000101158,ENSG00000101343,ENSG00000103194,ENSG00000103550,ENSG00000105821,ENSG00000105939,ENSG00000107937,ENSG00000108064,ENSG00000108588,ENSG00000113048,ENSG00000113272,ENSG00000114503,ENSG00000115267,ENSG00000115368,ENSG00000119711,ENSG00000121274,ENSG00000124383,ENSG00000125166,ENSG00000125485,ENSG00000127804,ENSG00000130741,ENSG00000130935,ENSG00000132361,ENSG00000132467,ENSG00000132541,ENSG00000132603,ENSG00000134077,ENSG00000135316,ENSG00000137628,ENSG00000137760,ENSG00000137944,ENSG00000138035,ENSG00000139726,ENSG00000139746,ENSG00000145388,ENSG00000145907,ENSG00000147592,ENSG00000148840,ENSG00000151461,ENSG00000153944,ENSG00000155438,ENSG00000159217,ENSG00000161813,ENSG00000162437,ENSG00000162851,ENSG00000163684,ENSG00000163811,ENSG00000164022,ENSG00000164134,ENSG00000164342,ENSG00000164346,ENSG00000165732,ENSG00000165832,ENSG00000167005,ENSG00000168827,ENSG00000168872,ENSG00000171490,ENSG00000172062,ENSG00000174173,ENSG00000178691,ENSG00000178952,ENSG00000179041,ENSG00000184575,ENSG00000186416,ENSG00000198015,ENSG00000198042,ENSG00000198791,ENSG00000205571,ENSG00000278053	UTP18,RNASET2,POLR2B,NOP16,PTCD2,EIF2AK2,GATB,MRPS35,TFRC,TRNT1,NUFIP1,MTIF2,DIMT1,DDX18,ESF1,TRMT6,NELFCD,CRNKL1,USP10,KNOP1,DNAJC2,ZC3HAV1,GTPBP4,TFAM,CCDC47,MRPS27,THG1L,NCBP2,IFIH1,WDR75,ALDH6A1,PAPD5,MPHOSPH10,GOT2,DDX31,METTL16,EIF2S3,NOL11,CLUH,UTP3,HRSP12,NIP7,THUMPD3,SYNCRIP,DDX60,ALKBH8,CCBL2,PNPT1,DENR,RBM26,METTL14,G3BP1,LACTB2,PPRC1,UPF2,MSI2,NIFK,IGF2BP1,LARP4,RAVER2,TFB2M,RPP14,WDR43,AIMP1,NAA15,TLR3,NSA2,DDX21,TRUB1,NUDT21,GFM1,DDX19A,RSL1D1,SMN1,TRMT10C,SUZ12,TUFM,RRS1,XPOT,NKRF,MRPL42,MAK16,CNOT7,SMN2,DDX52
GO:0004485	0.00165534544681042	Inf	0.0814541713109835	2	2	methylcrotonoyl-CoA carboxylase activity	0.15906364884351	ENSG00000078070,ENSG00000131844	MCCC1,MCCC2
GO:0008193	0.00165534544681042	Inf	0.0814541713109835	2	2	tRNA guanylyltransferase activity	0.15906364884351	ENSG00000101557,ENSG00000113272	USP14,THG1L
GO:0008988	0.00165534544681042	Inf	0.0814541713109835	2	2	rRNA (adenine-N6-)-methyltransferase activity	0.15906364884351	ENSG00000086189,ENSG00000127804	DIMT1,METTL16
