Cluster	GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	adjustedPvalue	ensembl_gene_id	hgnc_symbol
B	GO:0005200	3.61E-06	7.400260756	1.581925748	10	75	structural constituent of cytoskeleton	0.002467699	"ENSG00000026025,ENSG00000070182,ENSG00000123416,ENSG00000137076,ENSG00000167552,ENSG00000167553,ENSG00000176014,ENSG00000188229,ENSG00000196230,ENSG00000258947"	"VIM,SPTB,TUBA1B,TLN1,TUBA1A,TUBA1C,TUBB6,TUBB4B,TUBB,TUBB3"
B	GO:0048407	3.65E-05	140.9382716	0.084369373	3	4	platelet-derived growth factor binding	0.012467541	"ENSG00000100311,ENSG00000108821,ENSG00000197461"	"PDGFB,COL1A1,PDGFA"
B	GO:0005515	6.30E-05	1.895841821	180.3606276	206	8551	protein binding	0.014335873	"ENSG00000002330,ENSG00000002822,ENSG00000004468,ENSG00000006125,ENSG00000023041,ENSG00000025770,ENSG00000026025,ENSG00000029993,ENSG00000038358,ENSG00000038382,ENSG00000039560,ENSG00000044574,ENSG00000047644,ENSG00000049541,ENSG00000051128,ENSG00000066697,ENSG00000068400,ENSG00000070182,ENSG00000070404,ENSG00000071242,ENSG00000073712,ENSG00000075073,ENSG00000078401,ENSG00000081277,ENSG00000083444,ENSG00000084731,ENSG00000085741,ENSG00000087365,ENSG00000087884,ENSG00000090339,ENSG00000092607,ENSG00000097021,ENSG00000099860,ENSG00000099994,ENSG00000100097,ENSG00000100246,ENSG00000100311,ENSG00000100813,ENSG00000101216,ENSG00000102225,ENSG00000102271,ENSG00000102760,ENSG00000103495,ENSG00000103855,ENSG00000104368,ENSG00000104892,ENSG00000104897,ENSG00000105321,ENSG00000105851,ENSG00000105877,ENSG00000105968,ENSG00000107223,ENSG00000107566,ENSG00000108107,ENSG00000108821,ENSG00000109911,ENSG00000110011,ENSG00000110025,ENSG00000110944,ENSG00000113140,ENSG00000114019,ENSG00000115009,ENSG00000115694,ENSG00000118503,ENSG00000118922,ENSG00000119403,ENSG00000119559,ENSG00000119681,ENSG00000119725,ENSG00000122515,ENSG00000123416,ENSG00000123689,ENSG00000124006,ENSG00000124160,ENSG00000124225,ENSG00000124357,ENSG00000124466,ENSG00000125798,ENSG00000126214,ENSG00000127054,ENSG00000128191,ENSG00000129355,ENSG00000129474,ENSG00000130520,ENSG00000130720,ENSG00000132017,ENSG00000133318,ENSG00000133398,ENSG00000133805,ENSG00000134013,ENSG00000134690,ENSG00000135362,ENSG00000137076,ENSG00000137221,ENSG00000137709,ENSG00000138069,ENSG00000138621,ENSG00000140464,ENSG00000140521,ENSG00000140553,ENSG00000140859,ENSG00000142178,ENSG00000142546,ENSG00000142871,ENSG00000143367,ENSG00000143442,ENSG00000143537,ENSG00000146535,ENSG00000146707,ENSG00000147403,ENSG00000148516,ENSG00000149541,ENSG00000152082,ENSG00000152763,ENSG00000153162,ENSG00000157954,ENSG00000158555,ENSG00000159069,ENSG00000160014,ENSG00000160199,ENSG00000160226,ENSG00000160360,ENSG00000160691,ENSG00000160741,ENSG00000160753,ENSG00000160789,ENSG00000160813,ENSG00000161958,ENSG00000162231,ENSG00000162734,ENSG00000162777,ENSG00000162783,ENSG00000162889,ENSG00000163191,ENSG00000164850,ENSG00000165802,ENSG00000165949,ENSG00000166016,ENSG00000166224,ENSG00000166483,ENSG00000166529,ENSG00000166833,ENSG00000167107,ENSG00000167552,ENSG00000167553,ENSG00000167797,ENSG00000167895,ENSG00000167996,ENSG00000168067,ENSG00000168071,ENSG00000168243,ENSG00000168785,ENSG00000169047,ENSG00000169129,ENSG00000169429,ENSG00000170214,ENSG00000170955,ENSG00000171608,ENSG00000172650,ENSG00000172732,ENSG00000172889,ENSG00000173207,ENSG00000173511,ENSG00000173805,ENSG00000174903,ENSG00000175550,ENSG00000175592,ENSG00000176697,ENSG00000176973,ENSG00000177469,ENSG00000178057,ENSG00000178752,ENSG00000178922,ENSG00000179715,ENSG00000180304,ENSG00000182196,ENSG00000182872,ENSG00000184897,ENSG00000185347,ENSG00000186063,ENSG00000187961,ENSG00000188229,ENSG00000189060,ENSG00000196230,ENSG00000196754,ENSG00000196924,ENSG00000197043,ENSG00000197279,ENSG00000197461,ENSG00000198203,ENSG00000198732,ENSG00000203805,ENSG00000204356,ENSG00000204469,ENSG00000205531,ENSG00000213190,ENSG00000213445,ENSG00000213923,ENSG00000213928,ENSG00000214026,ENSG00000214078,ENSG00000214357,ENSG00000227507,ENSG00000240583,ENSG00000244405,ENSG00000258947,ENSG00000272333"	"BAD,MAD1L1,CD38,AP2B1,ZDHHC6,NCAPH2,VIM,HMGB3,EDC4,TRIO,RAI14,HSPA5,WWC3,RFC2,HOMER3,MSANTD3,GRIPAP1,SPTB,FSTL3,RPS6KA2,FERMT2,TACR2,EDN1,PKP1,PLOD1,KIF3C,WNT11,SF3B2,AAMDC,ICAM1,TBX15,ACOT7,GADD45B,SUSD2,LGALS1,DNAL4,PDGFB,ACIN1,GMEB2,CDK16,KLHL4,RGCC,MAZ,CD276,PLAT,KLC3,SF3A2,CCDC9,PIK3CG,DNAH11,H2AFV,EDF1,ERLIN1,RPL28,COL1A1,ELP4,DNAJC4,SNX15,IL23A,SPARC,AMOTL2,CCL20,STK25,TNFAIP3,KLF12,PHF19,C19orf25,LTBP2,ZNF410,ZMIZ2,TUBA1B,G0S2,OBSL1,NCOA5,PMEPA1,NAGK,LYPD3,FOXA2,KLC1,CPSF3L,DGCR8,CDKN2D,AJUBA,LSM4,FIBCD1,DCAF15,RTN3,MED10,AMPD3,LOXL2,CDCA8,PRR5L,TLN1,TJAP1,POU2F3,RAB1A,PPCDC,PML,POLG,UNC45A,KIFC3,SIK1,NOSIP,CYR61,TUFT1,POGZ,ADAM15,GNA12,POMZP3,RPL10,ZEB1,B3GAT3,MZT2B,WDR78,BMP6,WIPI2,GDPD5,FBXW5,CALM3,PKNOX1,C21orf2,GPSM1,SHC1,CRTC2,RUSC1,LMNA,PPP1R35,FGF11,NXF1,PEA15,DENND2D,IER5,MAPKAPK2,S100A11,GPER1,NSMF,IFI27,ABTB2,SGPL1,WEE1,ZSCAN21,NAV2,ACSF2,TUBA1A,TUBA1C,CDK2AP2,TMC8,FTH1,MAP4K2,CCDC88B,GNG4,TSPAN5,IRS1,AFAP1L2,CXCL8,ADRA1B,PRKCDBP,PIK3CD,AGAP5,MUS81,EGFL7,CKS1B,VEGFB,HAP1,RAB1B,DRAP1,FOSL1,BDNF,FAM89B,PTRF,NDUFAF3,FAM132B,HYI,PCED1B,OAZ2,ARL6IP4,RBM10,H1FX,C14orf80,AIDA,KLHL17,TUBB4B,H1F0,TUBB,S100A2,FLNA,ANXA6,ZNF165,PDGFA,SULT1C2,SMOC1,PPAPDC1A,NELFE,PRRC2A,NAP1L4,MLLT11,SIPA1,CSNK1E,IRF9,MRPL23,CPNE1,NEURL1B,LTB,AQP1,ETV5,TUBB3,KMT2B"
B	GO:0048018	0.000409701	3.454629203	3.775529452	12	179	receptor ligand activity	0.069956452	"ENSG00000078401,ENSG00000100311,ENSG00000110944,ENSG00000115009,ENSG00000153162,ENSG00000161958,ENSG00000169429,ENSG00000173511,ENSG00000176697,ENSG00000178752,ENSG00000197461,ENSG00000227507"	"EDN1,PDGFB,IL23A,CCL20,BMP6,FGF11,CXCL8,VEGFB,BDNF,FAM132B,PDGFA,LTB"
B	GO:0046934	0.000775706	7.874827109	0.738232016	5	35	"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	0.086400863	"ENSG00000100311,ENSG00000105851,ENSG00000169047,ENSG00000171608,ENSG00000197461"	"PDGFB,PIK3CG,IRS1,PIK3CD,PDGFA"
B	GO:0030545	0.00083992	3.165680473	4.091914602	12	194	receptor regulator activity	0.086400863	"ENSG00000078401,ENSG00000100311,ENSG00000110944,ENSG00000115009,ENSG00000153162,ENSG00000161958,ENSG00000169429,ENSG00000173511,ENSG00000176697,ENSG00000178752,ENSG00000197461,ENSG00000227507"	"EDN1,PDGFB,IL23A,CCL20,BMP6,FGF11,CXCL8,VEGFB,BDNF,FAM132B,PDGFA,LTB"
B	GO:0050840	0.000885514	7.620131174	0.759324359	5	36	extracellular matrix binding	0.086400863	"ENSG00000100097,ENSG00000113140,ENSG00000124466,ENSG00000142871,ENSG00000198732"	"LGALS1,SPARC,LYPD3,CYR61,SMOC1"
B	GO:0052813	0.001139312	7.157047655	0.801509046	5	38	phosphatidylinositol bisphosphate kinase activity	0.097268789	"ENSG00000100311,ENSG00000105851,ENSG00000169047,ENSG00000171608,ENSG00000197461"	"PDGFB,PIK3CG,IRS1,PIK3CD,PDGFA"
B	GO:0005198	0.00129426	2.22315942	10.14541713	21	481	structural molecule activity	0.09821999	"ENSG00000026025,ENSG00000047644,ENSG00000070182,ENSG00000081277,ENSG00000101335,ENSG00000108107,ENSG00000108821,ENSG00000123416,ENSG00000124006,ENSG00000137076,ENSG00000143367,ENSG00000147403,ENSG00000160789,ENSG00000167552,ENSG00000167553,ENSG00000176014,ENSG00000187961,ENSG00000188229,ENSG00000196230,ENSG00000214026,ENSG00000258947"	"VIM,WWC3,SPTB,PKP1,MYL9,RPL28,COL1A1,TUBA1B,OBSL1,TLN1,TUFT1,RPL10,LMNA,TUBA1A,TUBA1C,TUBB6,KLHL17,TUBB4B,TUBB,MRPL23,TUBB3"
B	GO:0035004	0.001615916	6.55889811	0.864786076	5	41	phosphatidylinositol 3-kinase activity	0.110367093	"ENSG00000100311,ENSG00000105851,ENSG00000169047,ENSG00000171608,ENSG00000197461"	"PDGFB,PIK3CG,IRS1,PIK3CD,PDGFA"
