ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	ensembl_gene_id	gene_symbol
R-HSA-6790901	rRNA modification in the nucleus and cytosol	22/563	60/7349	1.69838515307147e-10	1.55232402990732e-07	1.5088811254656e-07	51096/51602/10885/10528/2091/54433/4839/56902/55127/27340/10436/1736/55226/92856/84916/55651/22984/10813/25879/65083/51202/9277	22	ENSG00000011260,ENSG00000055044,ENSG00000065183,ENSG00000101361,ENSG00000105202,ENSG00000109534,ENSG00000111641,ENSG00000115946,ENSG00000119285,ENSG00000120800,ENSG00000126749,ENSG00000130826,ENSG00000135372,ENSG00000136718,ENSG00000141076,ENSG00000145912,ENSG00000148843,ENSG00000156697,ENSG00000164934,ENSG00000165271,ENSG00000213782,ENSG00000227057	UTP18,NOP58,WDR3,NOP56,FBL,GAR1,NOP2,PNO1,HEATR1,UTP20,EMG1,DKC1,NAT10,IMP4,CIRH1A,NHP2,PDCD11,UTP14A,DCAF13,NOL6,DDX47,WDR46
R-HSA-8868773	rRNA processing in the nucleus and cytosol	38/563	184/7349	1.05825567089763e-08	4.83622841600217e-06	4.70088308546105e-06	51096/51602/10885/56915/10528/2091/55131/54433/4839/705/4691/56902/55127/11340/27340/10799/10436/23404/1736/55226/84946/92856/54881/55759/84916/28987/27043/55651/22984/10813/8568/26354/25879/65083/55720/54913/51202/9277	38	ENSG00000011260,ENSG00000055044,ENSG00000065183,ENSG00000077348,ENSG00000101361,ENSG00000105202,ENSG00000106344,ENSG00000109534,ENSG00000111641,ENSG00000112578,ENSG00000115053,ENSG00000115946,ENSG00000119285,ENSG00000120699,ENSG00000120800,ENSG00000124787,ENSG00000126749,ENSG00000130713,ENSG00000130826,ENSG00000135372,ENSG00000135521,ENSG00000136718,ENSG00000136891,ENSG00000138442,ENSG00000141076,ENSG00000141101,ENSG00000141456,ENSG00000145912,ENSG00000148843,ENSG00000156697,ENSG00000160214,ENSG00000163938,ENSG00000164934,ENSG00000165271,ENSG00000167721,ENSG00000178718,ENSG00000213782,ENSG00000227057	UTP18,NOP58,WDR3,EXOSC5,NOP56,FBL,RBM28,GAR1,NOP2,BYSL,NCL,PNO1,HEATR1,EXOSC8,UTP20,RPP40,EMG1,EXOSC2,DKC1,NAT10,LTV1,IMP4,TEX10,WDR12,CIRH1A,NOB1,PELP1,NHP2,PDCD11,UTP14A,RRP1,GNL3,DCAF13,NOL6,TSR1,RPP25,DDX47,WDR46
R-HSA-72312	rRNA processing	38/563	194/7349	4.77158105135702e-08	1.45374169364677e-05	1.41305768678783e-05	51096/51602/10885/56915/10528/2091/55131/54433/4839/705/4691/56902/55127/11340/27340/10799/10436/23404/1736/55226/84946/92856/54881/55759/84916/28987/27043/55651/22984/10813/8568/26354/25879/65083/55720/54913/51202/9277	38	ENSG00000011260,ENSG00000055044,ENSG00000065183,ENSG00000077348,ENSG00000101361,ENSG00000105202,ENSG00000106344,ENSG00000109534,ENSG00000111641,ENSG00000112578,ENSG00000115053,ENSG00000115946,ENSG00000119285,ENSG00000120699,ENSG00000120800,ENSG00000124787,ENSG00000126749,ENSG00000130713,ENSG00000130826,ENSG00000135372,ENSG00000135521,ENSG00000136718,ENSG00000136891,ENSG00000138442,ENSG00000141076,ENSG00000141101,ENSG00000141456,ENSG00000145912,ENSG00000148843,ENSG00000156697,ENSG00000160214,ENSG00000163938,ENSG00000164934,ENSG00000165271,ENSG00000167721,ENSG00000178718,ENSG00000213782,ENSG00000227057	UTP18,NOP58,WDR3,EXOSC5,NOP56,FBL,RBM28,GAR1,NOP2,BYSL,NCL,PNO1,HEATR1,EXOSC8,UTP20,RPP40,EMG1,EXOSC2,DKC1,NAT10,LTV1,IMP4,TEX10,WDR12,CIRH1A,NOB1,PELP1,NHP2,PDCD11,UTP14A,RRP1,GNL3,DCAF13,NOL6,TSR1,RPP25,DDX47,WDR46
R-HSA-8956320	Nucleobase biosynthesis	9/563	15/7349	2.81276034199659e-07	6.4271573814622e-05	6.24728875959242e-05	790/1723/7372/10606/5471/471/2618/8833/5198	9	ENSG00000084774,ENSG00000102967,ENSG00000114491,ENSG00000128050,ENSG00000128059,ENSG00000138363,ENSG00000159131,ENSG00000163655,ENSG00000178921	CAD,DHODH,UMPS,PAICS,PPAT,ATIC,GART,GMPS,PFAS
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	33/563	174/7349	8.07825405675215e-07	0.000147670484157429	0.000143537819450501	51096/51602/10885/56915/10528/2091/55131/705/4691/56902/55127/11340/27340/10799/10436/23404/84946/92856/54881/55759/84916/28987/27043/22984/10813/8568/26354/25879/65083/55720/54913/51202/9277	33	ENSG00000011260,ENSG00000055044,ENSG00000065183,ENSG00000077348,ENSG00000101361,ENSG00000105202,ENSG00000106344,ENSG00000112578,ENSG00000115053,ENSG00000115946,ENSG00000119285,ENSG00000120699,ENSG00000120800,ENSG00000124787,ENSG00000126749,ENSG00000130713,ENSG00000135521,ENSG00000136718,ENSG00000136891,ENSG00000138442,ENSG00000141076,ENSG00000141101,ENSG00000141456,ENSG00000148843,ENSG00000156697,ENSG00000160214,ENSG00000163938,ENSG00000164934,ENSG00000165271,ENSG00000167721,ENSG00000178718,ENSG00000213782,ENSG00000227057	UTP18,NOP58,WDR3,EXOSC5,NOP56,FBL,RBM28,BYSL,NCL,PNO1,HEATR1,EXOSC8,UTP20,RPP40,EMG1,EXOSC2,LTV1,IMP4,TEX10,WDR12,CIRH1A,NOB1,PELP1,PDCD11,UTP14A,RRP1,GNL3,DCAF13,NOL6,TSR1,RPP25,DDX47,WDR46
R-HSA-72306	tRNA processing	23/563	104/7349	2.62125453045909e-06	0.000399304440139935	0.000388129618194293	23279/4234/55706/54517/10940/9631/10799/57570/91801/53371/51002/80746/127253/129401/115708/51367/283742/54913/55039/134637/116461/55253/81890	23	ENSG00000030066,ENSG00000037897,ENSG00000058804,ENSG00000091127,ENSG00000104356,ENSG00000113569,ENSG00000124787,ENSG00000126814,ENSG00000137760,ENSG00000138750,ENSG00000144034,ENSG00000154743,ENSG00000162623,ENSG00000163002,ENSG00000166166,ENSG00000167272,ENSG00000171262,ENSG00000178718,ENSG00000183665,ENSG00000189007,ENSG00000198860,ENSG00000198874,ENSG00000213339	NUP160,METTL1,NDC1,PUS7,POP1,NUP155,RPP40,TRMT5,ALKBH8,NUP54,TPRKB,TSEN2,TYW3,NUP35,TRMT61A,POP5,FAM98B,RPP25,TRMT12,ADAT2,TSEN15,TYW1,QTRT1
R-HSA-73817	Purine ribonucleoside monophosphate biosynthesis	6/563	12/7349	0.000121917010584443	0.0159188782391687	0.0154733769824466	10606/5471/471/2618/8833/5198	6	ENSG00000128050,ENSG00000128059,ENSG00000138363,ENSG00000159131,ENSG00000163655,ENSG00000178921	PAICS,PPAT,ATIC,GART,GMPS,PFAS
R-HSA-6782315	tRNA modification in the nucleus and cytosol	11/563	42/7349	0.00023116680840255	0.0264108078599914	0.0256716824068095	4234/54517/57570/91801/51002/127253/115708/55039/134637/55253/81890	11	ENSG00000037897,ENSG00000091127,ENSG00000126814,ENSG00000137760,ENSG00000144034,ENSG00000162623,ENSG00000166166,ENSG00000183665,ENSG00000189007,ENSG00000198874,ENSG00000213339	METTL1,PUS7,TRMT5,ALKBH8,TPRKB,TYW3,TRMT61A,TRMT12,ADAT2,TYW1,QTRT1
R-HSA-1268020	Mitochondrial protein import	14/563	64/7349	0.000270668447225218	0.0274878845293166	0.026718616310887	617/29090/56993/26520/56942/1678/10440/3329/498/131474/2395/27235/9804/100188893	14	ENSG00000074582,ENSG00000075336,ENSG00000100216,ENSG00000100575,ENSG00000103121,ENSG00000126953,ENSG00000134375,ENSG00000144381,ENSG00000152234,ENSG00000163528,ENSG00000165060,ENSG00000173085,ENSG00000173726,ENSG00000214736	BCS1L,TIMM21,TOMM22,TIMM9,CMC2,TIMM8A,TIMM17A,HSPD1,ATP5A1,CHCHD4,FXN,COQ2,TOMM20,TOMM6
R-HSA-69190	DNA strand elongation	9/563	31/7349	0.0003715547348067	0.0339601027613324	0.0330097048607216	4171/4175/9837/5422/3978/4172/5111/1763/5557	9	ENSG00000073111,ENSG00000076003,ENSG00000101003,ENSG00000101868,ENSG00000105486,ENSG00000112118,ENSG00000132646,ENSG00000138346,ENSG00000198056	MCM2,MCM6,GINS1,POLA1,LIG1,MCM3,PCNA,DNA2,PRIM1
