ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	ensembl_gene_id	gene_symbol
R-HSA-156588	Glucuronidation	9/476	14/7349	2.78640724054918e-08	2.29599956621252e-05	2.29599956621252e-05	7365/23169/79799/55347/54578/7364/7366/10720/54658	9	ENSG00000109181,ENSG00000116704,ENSG00000135220,ENSG00000144827,ENSG00000167165,ENSG00000171234,ENSG00000196620,ENSG00000213759,ENSG00000241635	UGT2B10,SLC35D1,UGT2A3,ABHD10,UGT1A6,UGT2B7,UGT2B15,UGT2B11,UGT1A1
R-HSA-70895	Branched-chain amino acid catabolism	8/476	22/7349	4.15635168009864e-05	0.0171241689220064	0.0171241689220064	56922/594/1738/11112/4329/64087/1629/26275	8	ENSG00000078070,ENSG00000083123,ENSG00000091140,ENSG00000106049,ENSG00000119711,ENSG00000131844,ENSG00000137992,ENSG00000198130	MCCC1,BCKDHB,DLD,HIBADH,ALDH6A1,MCCC2,DBT,HIBCH
R-HSA-389661	Glyoxylate metabolism and glycine degradation	8/476	24/7349	8.51698360627749e-05	0.0233933149719088	0.0233933149719088	594/1738/8050/11019/2806/1629/55526/8528	8	ENSG00000083123,ENSG00000091140,ENSG00000110435,ENSG00000121897,ENSG00000125166,ENSG00000137992,ENSG00000181192,ENSG00000203797	BCKDHB,DLD,PDHX,LIAS,GOT2,DBT,DHTKD1,DDO
R-HSA-211859	Biological oxidations	20/476	141/7349	0.000704818210843375	0.145192551433735	0.145192551433735	2729/26/196/7365/23169/79799/1593/670/7172/2230/55347/84532/134147/1557/54578/7364/57834/7366/10720/54658	20	ENSG00000001084,ENSG00000002726,ENSG00000106546,ENSG00000109181,ENSG00000116704,ENSG00000135220,ENSG00000135929,ENSG00000137274,ENSG00000137364,ENSG00000137714,ENSG00000144827,ENSG00000154930,ENSG00000164237,ENSG00000165841,ENSG00000167165,ENSG00000171234,ENSG00000171903,ENSG00000196620,ENSG00000213759,ENSG00000241635	GCLC,AOC1,AHR,UGT2B10,SLC35D1,UGT2A3,CYP27A1,BPHL,TPMT,FDX1,ABHD10,ACSS1,CMBL,CYP2C19,UGT1A6,UGT2B7,CYP4F11,UGT2B15,UGT2B11,UGT1A1
R-HSA-5579029	Metabolic disorders of biological oxidation enzymes	6/476	21/7349	0.00168036557545188	0.26977284679046	0.26977284679046	2729/23169/1593/7172/2230/54658	6	ENSG00000001084,ENSG00000116704,ENSG00000135929,ENSG00000137364,ENSG00000137714,ENSG00000241635	GCLC,SLC35D1,CYP27A1,TPMT,FDX1,UGT1A1
R-HSA-425407	SLC-mediated transmembrane transport	20/476	153/7349	0.00196436538925093	0.26977284679046	0.26977284679046	11136/6558/23428/6523/23516/51296/4891/23169/23443/206358/66035/1317/9153/6519/30061/8501/23382/91749/389015/10479	20	ENSG00000021488,ENSG00000064651,ENSG00000092068,ENSG00000100170,ENSG00000104635,ENSG00000110446,ENSG00000110911,ENSG00000116704,ENSG00000117620,ENSG00000123643,ENSG00000133460,ENSG00000136868,ENSG00000137860,ENSG00000138079,ENSG00000138449,ENSG00000149150,ENSG00000158467,ENSG00000173214,ENSG00000180251,ENSG00000198689	SLC7A9,SLC12A2,SLC7A8,SLC5A1,SLC39A14,SLC15A3,SLC11A2,SLC35D1,SLC35A3,SLC36A1,SLC2A11,SLC31A1,SLC28A2,SLC3A1,SLC40A1,SLC43A1,AHCYL2,KIAA1919,SLC9A4,SLC9A6
R-HSA-156580	Phase II - Conjugation of compounds	11/476	66/7349	0.00312344667225876	0.367674293991603	0.367674293991603	2729/7365/23169/79799/7172/55347/54578/7364/7366/10720/54658	11	ENSG00000001084,ENSG00000109181,ENSG00000116704,ENSG00000135220,ENSG00000137364,ENSG00000144827,ENSG00000167165,ENSG00000171234,ENSG00000196620,ENSG00000213759,ENSG00000241635	GCLC,UGT2B10,SLC35D1,UGT2A3,TPMT,ABHD10,UGT1A6,UGT2B7,UGT2B15,UGT2B11,UGT1A1
R-HSA-5668914	Diseases of metabolism	12/476	78/7349	0.00409124766730511	0.421398509732426	0.421398509732426	2729/56922/23169/64087/29080/2799/1593/7172/2230/3417/2720/54658	12	ENSG00000001084,ENSG00000078070,ENSG00000116704,ENSG00000131844,ENSG00000133773,ENSG00000135677,ENSG00000135929,ENSG00000137364,ENSG00000137714,ENSG00000138413,ENSG00000170266,ENSG00000241635	GCLC,MCCC1,SLC35D1,MCCC2,CCDC59,GNS,CYP27A1,TPMT,FDX1,IDH1,GLB1,UGT1A1
R-HSA-6790901	rRNA modification in the nucleus and cytosol	10/476	60/7349	0.00474992277582813	0.434881818586931	0.434881818586931	51096/55623/27292/84128/10171/10199/25926/57050/23160/11056	10	ENSG00000011260,ENSG00000066654,ENSG00000086189,ENSG00000115368,ENSG00000120158,ENSG00000124383,ENSG00000130935,ENSG00000132467,ENSG00000163811,ENSG00000278053,ENSG00000281007	UTP18,THUMPD1,DIMT1,WDR75,RCL1,MPHOSPH10,NOL11,UTP3,WDR43,DDX52,
R-HSA-5619102	SLC transporter disorders	7/476	38/7349	0.00998618404242133	0.730709446939875	0.730709446939875	11136/6523/4891/23443/6519/30061/10479	7	ENSG00000021488,ENSG00000100170,ENSG00000110911,ENSG00000117620,ENSG00000138079,ENSG00000138449,ENSG00000198689	SLC7A9,SLC5A1,SLC11A2,SLC35A3,SLC3A1,SLC40A1,SLC9A6
