 SampleName	Condition	Timepoint	Sex
M11R	FAXDC2	7d	MALE
M12L	FAXDC2	7d	MALE
M12R	FAXDC2	7d	MALE
M13R	FAXDC2	0h	MALE
M14L	WT	0h	FEMALE
M14R	WT	0h	FEMALE
M16R	WT	0h	MALE
M17L	WT	56h	MALE
M18R	WT	7d	MALE
M1R	FAXDC2	56h	FEMALE
M22R	WT	0h	FEMALE
M24L	WT	7d	FEMALE
M24R	WT	7d	FEMALE
M25L	WT	56h	FEMALE
M25R	WT	56h	FEMALE
M27L	WT	7d	FEMALE
M29L	WT	56h	FEMALE
M3L	FAXDC2	7d	FEMALE
M4L	FAXDC2	0h	FEMALE
M6L	FAXDC2	56h	FEMALE
M6R	FAXDC2	56h	FEMALE
M7R	FAXDC2	0h	FEMALE
M8L	FAXDC2	0h	MALE
M9L	FAXDC2	56h	MALE
