Cluster	GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	adjustedPvalue	ensembl_gene_id	hgnc_symbol
D	GO:0042254	4.50E-19	4.055537659	22.76989619	72	321	ribosome biogenesis	2.93E-15	"ENSG00000041802,ENSG00000055044,ENSG00000059588,ENSG00000065183,ENSG00000067533,ENSG00000073536,ENSG00000077348,ENSG00000087269,ENSG00000100583,ENSG00000101361,ENSG00000101546,ENSG00000105202,ENSG00000107833,ENSG00000108561,ENSG00000109534,ENSG00000111641,ENSG00000111845,ENSG00000112159,ENSG00000112578,ENSG00000113460,ENSG00000115761,ENSG00000115946,ENSG00000117174,ENSG00000117597,ENSG00000119285,ENSG00000120699,ENSG00000120800,ENSG00000124787,ENSG00000126749,ENSG00000129347,ENSG00000130713,ENSG00000130810,ENSG00000130826,ENSG00000133316,ENSG00000135372,ENSG00000135763,ENSG00000135972,ENSG00000136718,ENSG00000136891,ENSG00000138442,ENSG00000141076,ENSG00000141101,ENSG00000141456,ENSG00000145912,ENSG00000146223,ENSG00000148296,ENSG00000148843,ENSG00000155393,ENSG00000156469,ENSG00000156697,ENSG00000160208,ENSG00000160214,ENSG00000163938,ENSG00000164934,ENSG00000165271,ENSG00000166133,ENSG00000166197,ENSG00000166938,ENSG00000167721,ENSG00000169288,ENSG00000178718,ENSG00000179409,ENSG00000181163,ENSG00000182810,ENSG00000185163,ENSG00000188976,ENSG00000197498,ENSG00000198000,ENSG00000213782,ENSG00000227057,ENSG00000255561,ENSG00000274349"	"LSG1,NOP58,TARBP1,WDR3,RRP15,NLE1,EXOSC5,NOP14,SAMD15,NOP56,RBFA,FBL,NPM3,C1QBP,GAR1,NOP2,PAK1IP1,MDN1,BYSL,BRIX1,NOL10,PNO1,ZNHIT6,DIEXF,HEATR1,EXOSC8,UTP20,RPP40,EMG1,KRI1,EXOSC2,PPAN,DKC1,WDR74,NAT10,URB2,MRPS9,IMP4,TEX10,WDR12,CIRH1A,NOB1,PELP1,NHP2,RPL7L1,SURF6,PDCD11,HEATR3,MTERF3,UTP14A,RRP1B,RRP1,GNL3,DCAF13,NOL6,RPUSD2,NOLC1,DIS3L,TSR1,MRPL1,RPP25,GEMIN4,NPM1,DDX28,DDX51,NOC2L,RPF2,NOL8,DDX47,WDR46,FDXACB1,ZNF658"
D	GO:0034470	2.58E-18	3.557636614	28.51557093	81	402	ncRNA processing	8.40E-15	"ENSG00000037897,ENSG00000055044,ENSG00000059588,ENSG00000065183,ENSG00000067533,ENSG00000070061,ENSG00000077348,ENSG00000087269,ENSG00000091127,ENSG00000092847,ENSG00000100583,ENSG00000101361,ENSG00000101546,ENSG00000104356,ENSG00000105202,ENSG00000106246,ENSG00000107833,ENSG00000109534,ENSG00000111641,ENSG00000112159,ENSG00000112578,ENSG00000115761,ENSG00000115946,ENSG00000117597,ENSG00000119285,ENSG00000120699,ENSG00000120800,ENSG00000124787,ENSG00000126749,ENSG00000126814,ENSG00000128694,ENSG00000129317,ENSG00000129347,ENSG00000130713,ENSG00000130826,ENSG00000134759,ENSG00000135372,ENSG00000135972,ENSG00000136718,ENSG00000136891,ENSG00000138385,ENSG00000138442,ENSG00000141076,ENSG00000141101,ENSG00000141456,ENSG00000141994,ENSG00000144034,ENSG00000145912,ENSG00000146223,ENSG00000148843,ENSG00000154743,ENSG00000156697,ENSG00000160193,ENSG00000160208,ENSG00000160214,ENSG00000160710,ENSG00000162623,ENSG00000164934,ENSG00000165271,ENSG00000165526,ENSG00000166133,ENSG00000166166,ENSG00000166197,ENSG00000166938,ENSG00000167272,ENSG00000167721,ENSG00000169288,ENSG00000171262,ENSG00000178718,ENSG00000179409,ENSG00000180228,ENSG00000183665,ENSG00000185163,ENSG00000189007,ENSG00000197498,ENSG00000198000,ENSG00000198860,ENSG00000213339,ENSG00000213782,ENSG00000227057,ENSG00000255561"	"METTL1,NOP58,TARBP1,WDR3,RRP15,IKBKAP,EXOSC5,NOP14,PUS7,AGO1,SAMD15,NOP56,RBFA,POP1,FBL,PTCD1,NPM3,GAR1,NOP2,MDN1,BYSL,NOL10,PNO1,DIEXF,HEATR1,EXOSC8,UTP20,RPP40,EMG1,TRMT5,OSGEPL1,PUS7L,KRI1,EXOSC2,DKC1,ELP2,NAT10,MRPS9,IMP4,TEX10,SSB,WDR12,CIRH1A,NOB1,PELP1,DUS3L,TPRKB,NHP2,RPL7L1,PDCD11,TSEN2,UTP14A,WDR4,RRP1B,RRP1,ADAR,TYW3,DCAF13,NOL6,RPUSD4,RPUSD2,TRMT61A,NOLC1,DIS3L,POP5,TSR1,MRPL1,FAM98B,RPP25,GEMIN4,PRKRA,TRMT12,DDX51,ADAT2,RPF2,NOL8,TSEN15,QTRT1,DDX47,WDR46,FDXACB1"
D	GO:0022613	9.39E-18	3.32098986	32.06228374	86	452	ribonucleoprotein complex biogenesis	1.79E-14	"ENSG00000041802,ENSG00000055044,ENSG00000059588,ENSG00000064703,ENSG00000065183,ENSG00000067533,ENSG00000073536,ENSG00000074201,ENSG00000077348,ENSG00000082516,ENSG00000087269,ENSG00000092847,ENSG00000096063,ENSG00000100583,ENSG00000101361,ENSG00000101546,ENSG00000105202,ENSG00000107833,ENSG00000108561,ENSG00000109534,ENSG00000110107,ENSG00000111641,ENSG00000111845,ENSG00000112159,ENSG00000112578,ENSG00000113460,ENSG00000115761,ENSG00000115946,ENSG00000117174,ENSG00000117597,ENSG00000119285,ENSG00000120699,ENSG00000120800,ENSG00000124787,ENSG00000126749,ENSG00000129347,ENSG00000130713,ENSG00000130810,ENSG00000130826,ENSG00000133316,ENSG00000135250,ENSG00000135372,ENSG00000135763,ENSG00000135972,ENSG00000136718,ENSG00000136891,ENSG00000138442,ENSG00000141076,ENSG00000141101,ENSG00000141456,ENSG00000144231,ENSG00000145912,ENSG00000146223,ENSG00000148296,ENSG00000148843,ENSG00000152147,ENSG00000155393,ENSG00000156469,ENSG00000156697,ENSG00000160208,ENSG00000160214,ENSG00000160710,ENSG00000163938,ENSG00000164934,ENSG00000165271,ENSG00000166133,ENSG00000166197,ENSG00000166889,ENSG00000166938,ENSG00000167721,ENSG00000169288,ENSG00000175054,ENSG00000175792,ENSG00000178718,ENSG00000179409,ENSG00000181163,ENSG00000182004,ENSG00000182810,ENSG00000185163,ENSG00000188976,ENSG00000197498,ENSG00000198000,ENSG00000213782,ENSG00000227057,ENSG00000255561,ENSG00000274349"	"LSG1,NOP58,TARBP1,DDX20,WDR3,RRP15,NLE1,CLNS1A,EXOSC5,GEMIN5,NOP14,AGO1,SRPK1,SAMD15,NOP56,RBFA,FBL,NPM3,C1QBP,GAR1,PRPF19,NOP2,PAK1IP1,MDN1,BYSL,BRIX1,NOL10,PNO1,ZNHIT6,DIEXF,HEATR1,EXOSC8,UTP20,RPP40,EMG1,KRI1,EXOSC2,PPAN,DKC1,WDR74,SRPK2,NAT10,URB2,MRPS9,IMP4,TEX10,WDR12,CIRH1A,NOB1,PELP1,POLR2D,NHP2,RPL7L1,SURF6,PDCD11,GEMIN6,HEATR3,MTERF3,UTP14A,RRP1B,RRP1,ADAR,GNL3,DCAF13,NOL6,RPUSD2,NOLC1,PATL1,DIS3L,TSR1,MRPL1,ATR,RUVBL1,RPP25,GEMIN4,NPM1,SNRPE,DDX28,DDX51,NOC2L,RPF2,NOL8,DDX47,WDR46,FDXACB1,ZNF658"
D	GO:0034660	1.10E-17	3.040265783	39.51038062	98	557	ncRNA metabolic process	1.79E-14	"ENSG00000013573,ENSG00000037897,ENSG00000055044,ENSG00000059588,ENSG00000065183,ENSG00000067533,ENSG00000067704,ENSG00000070061,ENSG00000077348,ENSG00000087269,ENSG00000088247,ENSG00000091127,ENSG00000092847,ENSG00000100583,ENSG00000101361,ENSG00000101546,ENSG00000104356,ENSG00000104835,ENSG00000105202,ENSG00000106246,ENSG00000106305,ENSG00000107833,ENSG00000109534,ENSG00000111641,ENSG00000112159,ENSG00000112578,ENSG00000115053,ENSG00000115761,ENSG00000115946,ENSG00000116120,ENSG00000116874,ENSG00000117593,ENSG00000117597,ENSG00000117877,ENSG00000119285,ENSG00000120699,ENSG00000120800,ENSG00000124571,ENSG00000124787,ENSG00000124802,ENSG00000126749,ENSG00000126814,ENSG00000128694,ENSG00000129317,ENSG00000129347,ENSG00000130713,ENSG00000130826,ENSG00000133706,ENSG00000134759,ENSG00000135372,ENSG00000135972,ENSG00000136718,ENSG00000136891,ENSG00000137513,ENSG00000138385,ENSG00000138442,ENSG00000141076,ENSG00000141101,ENSG00000141456,ENSG00000141994,ENSG00000144034,ENSG00000144231,ENSG00000145912,ENSG00000146223,ENSG00000148843,ENSG00000154743,ENSG00000156697,ENSG00000160193,ENSG00000160208,ENSG00000160214,ENSG00000160710,ENSG00000162623,ENSG00000164934,ENSG00000165271,ENSG00000165526,ENSG00000166133,ENSG00000166166,ENSG00000166197,ENSG00000166938,ENSG00000167272,ENSG00000167721,ENSG00000169288,ENSG00000171262,ENSG00000178718,ENSG00000179409,ENSG00000180228,ENSG00000180817,ENSG00000183665,ENSG00000185163,ENSG00000189007,ENSG00000196305,ENSG00000197498,ENSG00000198000,ENSG00000198860,ENSG00000213339,ENSG00000213782,ENSG00000227057,ENSG00000255561"	"DDX11,METTL1,NOP58,TARBP1,WDR3,RRP15,IARS2,IKBKAP,EXOSC5,NOP14,KHSRP,PUS7,AGO1,SAMD15,NOP56,RBFA,POP1,SARS2,FBL,PTCD1,AIMP2,NPM3,GAR1,NOP2,MDN1,BYSL,NCL,NOL10,PNO1,FARSB,WARS2,DARS2,DIEXF,CD3EAP,HEATR1,EXOSC8,UTP20,XPO5,RPP40,EEF1E1,EMG1,TRMT5,OSGEPL1,PUS7L,KRI1,EXOSC2,DKC1,LARS,ELP2,NAT10,MRPS9,IMP4,TEX10,NARS2,SSB,WDR12,CIRH1A,NOB1,PELP1,DUS3L,TPRKB,POLR2D,NHP2,RPL7L1,PDCD11,TSEN2,UTP14A,WDR4,RRP1B,RRP1,ADAR,TYW3,DCAF13,NOL6,RPUSD4,RPUSD2,TRMT61A,NOLC1,DIS3L,POP5,TSR1,MRPL1,FAM98B,RPP25,GEMIN4,PRKRA,PPA1,TRMT12,DDX51,ADAT2,IARS,RPF2,NOL8,TSEN15,QTRT1,DDX47,WDR46,FDXACB1"
D	GO:0006364	7.87E-14	3.731832963	18.30103806	55	258	rRNA processing	1.02E-10	"ENSG00000055044,ENSG00000059588,ENSG00000065183,ENSG00000067533,ENSG00000077348,ENSG00000087269,ENSG00000100583,ENSG00000101361,ENSG00000101546,ENSG00000105202,ENSG00000107833,ENSG00000109534,ENSG00000111641,ENSG00000112159,ENSG00000112578,ENSG00000115761,ENSG00000115946,ENSG00000117597,ENSG00000119285,ENSG00000120699,ENSG00000120800,ENSG00000124787,ENSG00000126749,ENSG00000129347,ENSG00000130713,ENSG00000130826,ENSG00000135372,ENSG00000135972,ENSG00000136718,ENSG00000136891,ENSG00000138442,ENSG00000141076,ENSG00000141101,ENSG00000141456,ENSG00000145912,ENSG00000146223,ENSG00000148843,ENSG00000156697,ENSG00000160208,ENSG00000160214,ENSG00000164934,ENSG00000165271,ENSG00000166133,ENSG00000166197,ENSG00000166938,ENSG00000167721,ENSG00000169288,ENSG00000178718,ENSG00000179409,ENSG00000185163,ENSG00000197498,ENSG00000198000,ENSG00000213782,ENSG00000227057,ENSG00000255561"	"NOP58,TARBP1,WDR3,RRP15,EXOSC5,NOP14,SAMD15,NOP56,RBFA,FBL,NPM3,GAR1,NOP2,MDN1,BYSL,NOL10,PNO1,DIEXF,HEATR1,EXOSC8,UTP20,RPP40,EMG1,KRI1,EXOSC2,DKC1,NAT10,MRPS9,IMP4,TEX10,WDR12,CIRH1A,NOB1,PELP1,NHP2,RPL7L1,PDCD11,UTP14A,RRP1B,RRP1,DCAF13,NOL6,RPUSD2,NOLC1,DIS3L,TSR1,MRPL1,RPP25,GEMIN4,DDX51,RPF2,NOL8,DDX47,WDR46,FDXACB1"
D	GO:0016072	3.45E-13	3.43238372	20.64186851	58	291	rRNA metabolic process	3.74E-10	"ENSG00000013573,ENSG00000055044,ENSG00000059588,ENSG00000065183,ENSG00000067533,ENSG00000077348,ENSG00000087269,ENSG00000100583,ENSG00000101361,ENSG00000101546,ENSG00000105202,ENSG00000107833,ENSG00000109534,ENSG00000111641,ENSG00000112159,ENSG00000112578,ENSG00000115053,ENSG00000115761,ENSG00000115946,ENSG00000117597,ENSG00000117877,ENSG00000119285,ENSG00000120699,ENSG00000120800,ENSG00000124787,ENSG00000126749,ENSG00000129347,ENSG00000130713,ENSG00000130826,ENSG00000135372,ENSG00000135972,ENSG00000136718,ENSG00000136891,ENSG00000138442,ENSG00000141076,ENSG00000141101,ENSG00000141456,ENSG00000145912,ENSG00000146223,ENSG00000148843,ENSG00000156697,ENSG00000160208,ENSG00000160214,ENSG00000164934,ENSG00000165271,ENSG00000166133,ENSG00000166197,ENSG00000166938,ENSG00000167721,ENSG00000169288,ENSG00000178718,ENSG00000179409,ENSG00000185163,ENSG00000197498,ENSG00000198000,ENSG00000213782,ENSG00000227057,ENSG00000255561"	"DDX11,NOP58,TARBP1,WDR3,RRP15,EXOSC5,NOP14,SAMD15,NOP56,RBFA,FBL,NPM3,GAR1,NOP2,MDN1,BYSL,NCL,NOL10,PNO1,DIEXF,CD3EAP,HEATR1,EXOSC8,UTP20,RPP40,EMG1,KRI1,EXOSC2,DKC1,NAT10,MRPS9,IMP4,TEX10,WDR12,CIRH1A,NOB1,PELP1,NHP2,RPL7L1,PDCD11,UTP14A,RRP1B,RRP1,DCAF13,NOL6,RPUSD2,NOLC1,DIS3L,TSR1,MRPL1,RPP25,GEMIN4,DDX51,RPF2,NOL8,DDX47,WDR46,FDXACB1"
D	GO:0006399	4.94E-11	3.819033886	13.26470588	41	187	tRNA metabolic process	4.59E-08	"ENSG00000037897,ENSG00000059588,ENSG00000067704,ENSG00000070061,ENSG00000091127,ENSG00000104356,ENSG00000104835,ENSG00000106246,ENSG00000106305,ENSG00000116120,ENSG00000116874,ENSG00000117593,ENSG00000120699,ENSG00000124787,ENSG00000124802,ENSG00000126814,ENSG00000128694,ENSG00000129317,ENSG00000130713,ENSG00000133706,ENSG00000134759,ENSG00000135372,ENSG00000137513,ENSG00000138385,ENSG00000141994,ENSG00000144034,ENSG00000154743,ENSG00000160193,ENSG00000162623,ENSG00000165526,ENSG00000166166,ENSG00000167272,ENSG00000171262,ENSG00000178718,ENSG00000180817,ENSG00000183665,ENSG00000189007,ENSG00000196305,ENSG00000198860,ENSG00000213339,ENSG00000255561"	"METTL1,TARBP1,IARS2,IKBKAP,PUS7,POP1,SARS2,PTCD1,AIMP2,FARSB,WARS2,DARS2,EXOSC8,RPP40,EEF1E1,TRMT5,OSGEPL1,PUS7L,EXOSC2,LARS,ELP2,NAT10,NARS2,SSB,DUS3L,TPRKB,TSEN2,WDR4,TYW3,RPUSD4,TRMT61A,POP5,FAM98B,RPP25,PPA1,TRMT12,ADAT2,IARS,TSEN15,QTRT1,FDXACB1"
D	GO:0006396	5.68E-11	2.11209358	62.77681661	115	885	RNA processing	4.62E-08	"ENSG00000005100,ENSG00000020426,ENSG00000037897,ENSG00000055044,ENSG00000059588,ENSG00000064703,ENSG00000065183,ENSG00000067533,ENSG00000070061,ENSG00000074201,ENSG00000077348,ENSG00000082516,ENSG00000087269,ENSG00000088247,ENSG00000091127,ENSG00000092847,ENSG00000096063,ENSG00000100583,ENSG00000100941,ENSG00000101104,ENSG00000101361,ENSG00000101546,ENSG00000104356,ENSG00000104884,ENSG00000105202,ENSG00000106246,ENSG00000106344,ENSG00000107833,ENSG00000107951,ENSG00000108561,ENSG00000109534,ENSG00000109819,ENSG00000110107,ENSG00000111358,ENSG00000111641,ENSG00000112159,ENSG00000112578,ENSG00000115761,ENSG00000115946,ENSG00000116918,ENSG00000117597,ENSG00000119285,ENSG00000119599,ENSG00000120699,ENSG00000120800,ENSG00000124787,ENSG00000125378,ENSG00000126749,ENSG00000126814,ENSG00000128694,ENSG00000129317,ENSG00000129347,ENSG00000130713,ENSG00000130826,ENSG00000132819,ENSG00000134453,ENSG00000134759,ENSG00000135250,ENSG00000135372,ENSG00000135972,ENSG00000136718,ENSG00000136875,ENSG00000136891,ENSG00000137168,ENSG00000138385,ENSG00000138442,ENSG00000141076,ENSG00000141101,ENSG00000141456,ENSG00000141994,ENSG00000144034,ENSG00000144231,ENSG00000145912,ENSG00000146223,ENSG00000148843,ENSG00000152147,ENSG00000154743,ENSG00000156469,ENSG00000156502,ENSG00000156697,ENSG00000160193,ENSG00000160208,ENSG00000160214,ENSG00000160710,ENSG00000162623,ENSG00000163214,ENSG00000164934,ENSG00000165271,ENSG00000165526,ENSG00000165934,ENSG00000166133,ENSG00000166166,ENSG00000166197,ENSG00000166938,ENSG00000167112,ENSG00000167272,ENSG00000167721,ENSG00000169288,ENSG00000171262,ENSG00000177613,ENSG00000178718,ENSG00000179409,ENSG00000180228,ENSG00000182004,ENSG00000183665,ENSG00000185163,ENSG00000189007,ENSG00000189091,ENSG00000197498,ENSG00000198000,ENSG00000198860,ENSG00000213339,ENSG00000213782,ENSG00000227057,ENSG00000255561"	"DHX33,MNAT1,METTL1,NOP58,TARBP1,DDX20,WDR3,RRP15,IKBKAP,CLNS1A,EXOSC5,GEMIN5,NOP14,KHSRP,PUS7,AGO1,SRPK1,SAMD15,PNN,PABPC1L,NOP56,RBFA,POP1,ERCC2,FBL,PTCD1,RBM28,NPM3,MTPAP,C1QBP,GAR1,PPARGC1A,PRPF19,GTF2H3,NOP2,MDN1,BYSL,NOL10,PNO1,TSNAX,DIEXF,HEATR1,DCAF4,EXOSC8,UTP20,RPP40,BMP4,EMG1,TRMT5,OSGEPL1,PUS7L,KRI1,EXOSC2,DKC1,RBM38,RBM17,ELP2,SRPK2,NAT10,MRPS9,IMP4,PRPF4,TEX10,PPIL1,SSB,WDR12,CIRH1A,NOB1,PELP1,DUS3L,TPRKB,POLR2D,NHP2,RPL7L1,PDCD11,GEMIN6,TSEN2,MTERF3,SUPV3L1,UTP14A,WDR4,RRP1B,RRP1,ADAR,TYW3,DHX57,DCAF13,NOL6,RPUSD4,CPSF2,RPUSD2,TRMT61A,NOLC1,DIS3L,TRUB2,POP5,TSR1,MRPL1,FAM98B,CSTF2T,RPP25,GEMIN4,PRKRA,SNRPE,TRMT12,DDX51,ADAT2,SF3B3,RPF2,NOL8,TSEN15,QTRT1,DDX47,WDR46,FDXACB1"
D	GO:0030490	1.04E-08	6.864624154	3.759515571	18	53	maturation of SSU-rRNA	7.52E-06	"ENSG00000065183,ENSG00000087269,ENSG00000112578,ENSG00000115761,ENSG00000117597,ENSG00000119285,ENSG00000120800,ENSG00000126749,ENSG00000129347,ENSG00000135372,ENSG00000135972,ENSG00000141076,ENSG00000141101,ENSG00000148843,ENSG00000156697,ENSG00000164934,ENSG00000167721,ENSG00000227057"	"WDR3,NOP14,BYSL,NOL10,DIEXF,HEATR1,UTP20,EMG1,KRI1,NAT10,MRPS9,CIRH1A,NOB1,PDCD11,UTP14A,DCAF13,TSR1,WDR46"
D	GO:0009451	3.44E-08	3.669735328	9.930795848	30	140	RNA modification	2.24E-05	"ENSG00000037897,ENSG00000055044,ENSG00000059588,ENSG00000070061,ENSG00000091127,ENSG00000101361,ENSG00000105202,ENSG00000109534,ENSG00000111641,ENSG00000126749,ENSG00000126814,ENSG00000128694,ENSG00000129317,ENSG00000130826,ENSG00000134759,ENSG00000135372,ENSG00000138095,ENSG00000138385,ENSG00000141994,ENSG00000145912,ENSG00000160193,ENSG00000160710,ENSG00000165526,ENSG00000166133,ENSG00000166166,ENSG00000167112,ENSG00000169288,ENSG00000189007,ENSG00000213339,ENSG00000255561"	"METTL1,NOP58,TARBP1,IKBKAP,PUS7,NOP56,FBL,GAR1,NOP2,EMG1,TRMT5,OSGEPL1,PUS7L,DKC1,ELP2,NAT10,LRPPRC,SSB,DUS3L,NHP2,WDR4,ADAR,RPUSD4,RPUSD2,TRMT61A,TRUB2,MRPL1,ADAT2,QTRT1,FDXACB1"
